74,2,1,0,70000,41,./image/0627.png,1
68,2,1,0,201000,49,./image/0628.png,1
81,3,2,1,270000,84,./image/0631.png,3
83,3,2,1,264127,84,./image/0632.png,3
83,3,2,1,166000,84,./image/0633.png,4
81,3,2,1,270000,84,./image/0634.png,3
81,3,2,1,270000,84,./image/0635.png,3
73,3,1,0,100000,59,./image/0636.png,2
81,3,1,0,200000,62,./image/0637.png,1
85,4,2,1,270000,114,./image/0638.png,4
74,2,1,0,70000,41,./image/0641.png,1
80,3,2,2,166003,84,./image/0643.png,4
78,3,2,1,240000,84,./image/0645.png,3
87,4,2,1,123000,137,./image/0646.png,3
87,5,2,1,210000,164,./image/0647.png,2
75,2,1,0,100000,59,./image/0649.png,1
78,3,1,1,170000,59,./image/0650.png,3
83,3,2,1,208894,84,./image/0651.png,3
84,3,2,1,170000,92,./image/0652.png,2
80,3,2,1,166000,84,./image/0653.png,4
85,3,2,1,200000,84,./image/0654.png,3
83,3,1,2,130000,78,./image/0656.png,2
85,3,2,1,160000,84,./image/0657.png,2
84,3,1,1,210000,83,./image/0658.png,3
75,3,1,0,160000,59,./image/0659.png,1
87,5,2,1,147448,164,./image/0660.png,2
78,3,2,1,200000,84,./image/0661.png,3
73,2,1,0,170000,49,./image/0662.png,1
85,4,2,1,290000,114,./image/0663.png,4
86,4,2,1,140000,101,./image/0664.png,3
72,2,1,2,170000,49,./image/0665.png,1
78,3,2,1,200000,84,./image/0667.png,3
84,3,2,1,160000,92,./image/0669.png,2
87,5,2,1,417603,164,./image/0670.png,3
83,3,2,1,230000,84,./image/0671.png,3
86,4,2,1,150000,101,./image/0672.png,3
80,3,2,1,160000,84,./image/0673.png,4
80,3,2,1,170000,84,./image/0678.png,4
80,3,2,1,160000,84,./image/0680.png,4
83,3,2,1,130000,84,./image/0681.png,3
86,4,2,1,150000,101,./image/0682.png,3
83,3,2,1,130000,84,./image/0686.png,3
83,3,2,1,130000,84,./image/0687.png,3
86,5,2,1,550000,165,./image/0688.png,4
83,3,2,1,130000,84,./image/0689.png,3
79,3,1,1,240000,71,./image/0690.png,3
80,3,2,1,160000,84,./image/0691.png,4
79,3,1,1,219522,70,./image/0692.png,3
80,3,2,1,160000,84,./image/0693.png,4
80,3,2,1,170000,84,./image/0694.png,4
80,3,1,1,222036,60,./image/0695.png,3
85,3,2,1,222036,84,./image/0696.png,3
80,3,2,1,170000,84,./image/0697.png,4
86,4,2,1,150000,101,./image/0698.png,3
80,3,2,1,160000,84,./image/0699.png,4
83,3,2,1,160000,84,./image/0700.png,3
80,3,2,1,160000,84,./image/0701.png,4
80,3,1,1,159000,60,./image/0705.png,3
83,3,2,1,125000,84,./image/0707.png,4
83,3,2,1,207000,84,./image/0709.png,3
83,3,2,1,207000,84,./image/0710.png,3
80,3,2,1,160000,84,./image/0712.png,4
80,3,2,1,166033,84,./image/0715.png,4
79,3,1,1,120000,59,./image/0719.png,3
85,4,2,1,300000,117,./image/0720.png,3
83,3,2,1,200000,84,./image/0721.png,3
81,4,2,1,300000,134,./image/0723.png,3
72,2,1,0,80000,40,./image/0724.png,1
75,3,1,0,96000,59,./image/0725.png,1
84,3,2,1,237000,92,./image/0727.png,2
81,3,2,1,242000,84,./image/0729.png,3
86,3,2,1,200000,84,./image/0730.png,2
73,3,2,1,110000,76,./image/0731.png,4
85,4,2,1,300000,117,./image/0732.png,3
85,3,2,1,180000,84,./image/0733.png,3
72,3,2,1,200000,83,./image/0734.png,4
83,4,2,1,250000,101,./image/0735.png,3
81,3,2,1,270000,84,./image/0736.png,3
84,3,1,1,197000,83,./image/0737.png,3
81,3,1,0,200000,62,./image/0738.png,1
84,3,2,1,190000,84,./image/0739.png,3
81,3,1,0,200000,62,./image/0740.png,1
72,2,1,0,50000,41,./image/0741.png,1
85,4,2,1,350000,117,./image/0742.png,3
81,3,2,1,270000,84,./image/0743.png,3
76,1,1,0,30000,27,./image/0744.png,1
83,4,2,1,300000,101,./image/0745.png,3
81,3,2,1,270000,84,./image/0746.png,3
84,3,2,1,280000,93,./image/0748.png,3
85,4,2,1,230000,114,./image/0749.png,3
73,2,1,2,70000,33,./image/0750.png,1
79,3,1,1,200000,70,./image/0751.png,3
81,3,2,1,270000,84,./image/0752.png,3
81,3,2,1,270000,84,./image/0753.png,3
